Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,3,Undirected,1,+,,1,+,0
0,5,Undirected,2,-,,1,-,0
0,8,Undirected,3,+,,1,+,0
0,9,Undirected,4,+,,1,+,0
0,17,Undirected,5,+,,1,+,0
0,22,Undirected,6,-,,1,-,0
0,24,Undirected,7,+,,1,+,0
0,25,Undirected,8,-,,1,-,0
1,6,Undirected,9,+,,1,+,0
1,10,Undirected,10,+,,1,+,0
1,16,Undirected,11,-,,1,-,0
1,22,Undirected,12,-,,1,-,0
1,25,Undirected,13,-,,1,-,0
1,27,Undirected,14,-,,1,-,0
2,3,Undirected,15,+,,1,+,0
2,6,Undirected,16,-,,1,-,0
2,13,Undirected,17,-,,1,-,0
2,16,Undirected,18,+,,1,+,0
2,20,Undirected,19,-,,1,-,0
3,11,Undirected,20,+,,1,+,0
3,12,Undirected,21,+,,1,+,0
3,18,Undirected,22,+,,1,+,0
3,25,Undirected,23,-,,1,-,0
4,6,Undirected,24,+,,1,+,0
4,16,Undirected,25,-,,1,-,0
4,23,Undirected,26,+,,1,+,0
5,6,Undirected,27,-,,1,-,0
5,10,Undirected,28,-,,1,-,0
5,13,Undirected,29,-,,1,-,0
5,16,Undirected,30,+,,1,+,0
5,18,Undirected,31,-,,1,-,0
5,25,Undirected,32,-,,1,-,0
6,19,Undirected,33,+,,1,+,0
7,9,Undirected,34,+,,1,+,0
7,12,Undirected,35,+,,1,+,0
7,13,Undirected,36,+,,1,+,0
7,16,Undirected,37,-,,1,-,0
8,10,Undirected,38,+,,1,+,0
8,14,Undirected,39,-,,1,-,0
8,18,Undirected,40,+,,1,+,0
8,19,Undirected,41,-,,1,-,0
8,20,Undirected,42,+,,1,+,0
8,22,Undirected,43,-,,1,-,0
8,24,Undirected,44,+,,1,+,0
8,26,Undirected,45,+,,1,+,0
8,28,Undirected,46,+,,1,+,0
9,14,Undirected,47,-,,1,-,0
9,15,Undirected,48,+,,1,+,0
9,17,Undirected,49,+,,1,+,0
9,19,Undirected,50,+,,1,+,0
9,25,Undirected,51,-,,1,-,0
10,12,Undirected,52,+,,1,+,0
10,15,Undirected,53,+,,1,+,0
10,17,Undirected,54,+,,1,+,0
10,21,Undirected,55,+,,1,+,0
10,22,Undirected,56,-,,1,-,0
10,27,Undirected,57,+,,1,+,0
10,28,Undirected,58,+,,1,+,0
10,29,Undirected,59,+,,1,+,0
11,15,Undirected,60,+,,1,+,0
11,24,Undirected,61,+,,1,+,0
11,26,Undirected,62,+,,1,+,0
12,14,Undirected,63,-,,1,-,0
12,16,Undirected,64,-,,1,-,0
12,26,Undirected,65,+,,1,+,0
12,28,Undirected,66,+,,1,+,0
12,29,Undirected,67,+,,1,+,0
13,22,Undirected,68,-,,1,-,0
13,23,Undirected,69,+,,1,+,0
13,29,Undirected,70,+,,1,+,0
14,25,Undirected,71,+,,1,+,0
14,27,Undirected,72,-,,1,-,0
15,23,Undirected,73,+,,1,+,0
16,28,Undirected,74,-,,1,-,0
17,21,Undirected,75,+,,1,+,0
18,22,Undirected,76,+,,1,+,0
19,21,Undirected,77,+,,1,+,0
20,24,Undirected,78,+,,1,+,0
20,28,Undirected,79,+,,1,+,0
21,25,Undirected,80,-,,1,-,0
21,28,Undirected,81,+,,1,+,0
21,29,Undirected,82,+,,1,+,0
22,26,Undirected,83,-,,1,-,0
22,28,Undirected,84,-,,1,-,0
22,29,Undirected,85,-,,1,-,0
24,26,Undirected,86,+,,1,+,0
26,27,Undirected,87,-,,1,-,0
