Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,9,Undirected,1,+,,1,+,0
0,10,Undirected,2,-,,1,-,0
0,13,Undirected,3,+,,1,+,0
0,14,Undirected,4,+,,1,+,0
0,18,Undirected,5,+,,1,+,0
0,21,Undirected,6,+,,1,+,0
0,23,Undirected,7,+,,1,+,0
0,26,Undirected,8,+,,1,+,0
1,3,Undirected,9,+,,1,+,0
1,5,Undirected,10,-,,1,-,0
1,6,Undirected,11,+,,1,+,0
1,11,Undirected,12,-,,1,-,0
1,14,Undirected,13,+,,1,+,0
1,21,Undirected,14,+,,1,+,0
2,13,Undirected,15,+,,1,+,0
2,14,Undirected,16,+,,1,+,0
2,24,Undirected,17,+,,1,+,0
2,25,Undirected,18,+,,1,+,0
2,29,Undirected,19,+,,1,+,0
3,8,Undirected,20,+,,1,+,0
3,10,Undirected,21,-,,1,-,0
3,12,Undirected,22,-,,1,-,0
3,14,Undirected,23,+,,1,+,0
3,15,Undirected,24,+,,1,+,0
3,20,Undirected,25,+,,1,+,0
3,27,Undirected,26,-,,1,-,0
4,7,Undirected,27,+,,1,+,0
4,8,Undirected,28,+,,1,+,0
4,9,Undirected,29,+,,1,+,0
4,17,Undirected,30,+,,1,+,0
4,18,Undirected,31,+,,1,+,0
4,21,Undirected,32,+,,1,+,0
5,11,Undirected,33,+,,1,+,0
5,12,Undirected,34,+,,1,+,0
5,13,Undirected,35,-,,1,-,0
5,15,Undirected,36,-,,1,-,0
5,16,Undirected,37,+,,1,+,0
5,25,Undirected,38,-,,1,-,0
5,27,Undirected,39,+,,1,+,0
6,10,Undirected,40,-,,1,-,0
6,19,Undirected,41,-,,1,-,0
6,25,Undirected,42,+,,1,+,0
6,29,Undirected,43,+,,1,+,0
7,15,Undirected,44,+,,1,+,0
7,18,Undirected,45,+,,1,+,0
7,25,Undirected,46,+,,1,+,0
7,26,Undirected,47,+,,1,+,0
8,17,Undirected,48,+,,1,+,0
8,24,Undirected,49,+,,1,+,0
8,25,Undirected,50,+,,1,+,0
8,26,Undirected,51,+,,1,+,0
9,10,Undirected,52,-,,1,-,0
9,17,Undirected,53,+,,1,+,0
9,21,Undirected,54,+,,1,+,0
9,25,Undirected,55,+,,1,+,0
9,27,Undirected,56,-,,1,-,0
10,24,Undirected,57,-,,1,-,0
11,18,Undirected,58,-,,1,-,0
12,13,Undirected,59,-,,1,-,0
12,18,Undirected,60,-,,1,-,0
12,26,Undirected,61,-,,1,-,0
13,20,Undirected,62,-,,1,-,0
13,24,Undirected,63,+,,1,+,0
14,21,Undirected,64,+,,1,+,0
14,28,Undirected,65,+,,1,+,0
15,23,Undirected,66,+,,1,+,0
15,27,Undirected,67,-,,1,-,0
15,29,Undirected,68,+,,1,+,0
16,25,Undirected,69,-,,1,-,0
16,27,Undirected,70,+,,1,+,0
16,29,Undirected,71,-,,1,-,0
17,18,Undirected,72,+,,1,+,0
17,21,Undirected,73,+,,1,+,0
18,20,Undirected,74,+,,1,+,0
19,23,Undirected,75,-,,1,-,0
19,24,Undirected,76,-,,1,-,0
20,22,Undirected,77,+,,1,+,0
20,24,Undirected,78,+,,1,+,0
20,29,Undirected,79,+,,1,+,0
21,26,Undirected,80,+,,1,+,0
22,29,Undirected,81,+,,1,+,0
23,25,Undirected,82,+,,1,+,0
24,27,Undirected,83,-,,1,-,0
25,26,Undirected,84,-,,1,-,0
26,27,Undirected,85,-,,1,-,0
27,28,Undirected,86,-,,1,-,0
27,29,Undirected,87,-,,1,-,0
