Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,1,Undirected,1,-,,1,-,0
0,6,Undirected,2,+,,1,+,0
0,9,Undirected,3,-,,1,-,0
0,10,Undirected,4,+,,1,+,0
0,13,Undirected,5,-,,1,-,0
0,17,Undirected,6,+,,1,+,0
1,5,Undirected,7,+,,1,+,0
1,17,Undirected,8,+,,1,+,0
1,19,Undirected,9,-,,1,-,0
1,24,Undirected,10,+,,1,+,0
1,25,Undirected,11,+,,1,+,0
1,28,Undirected,12,-,,1,-,0
2,4,Undirected,13,+,,1,+,0
2,5,Undirected,14,+,,1,+,0
2,6,Undirected,15,+,,1,+,0
2,8,Undirected,16,-,,1,-,0
2,9,Undirected,17,-,,1,-,0
2,11,Undirected,18,-,,1,-,0
2,15,Undirected,19,-,,1,-,0
3,15,Undirected,20,+,,1,+,0
3,19,Undirected,21,+,,1,+,0
3,23,Undirected,22,+,,1,+,0
3,25,Undirected,23,+,,1,+,0
3,29,Undirected,24,-,,1,-,0
4,11,Undirected,25,-,,1,-,0
4,15,Undirected,26,-,,1,-,0
4,18,Undirected,27,+,,1,+,0
4,24,Undirected,28,-,,1,-,0
5,12,Undirected,29,-,,1,-,0
5,13,Undirected,30,-,,1,-,0
5,14,Undirected,31,+,,1,+,0
5,20,Undirected,32,-,,1,-,0
5,21,Undirected,33,-,,1,-,0
5,26,Undirected,34,-,,1,-,0
6,14,Undirected,35,+,,1,+,0
6,15,Undirected,36,-,,1,-,0
6,18,Undirected,37,+,,1,+,0
6,20,Undirected,38,-,,1,-,0
6,22,Undirected,39,-,,1,-,0
6,25,Undirected,40,-,,1,-,0
6,27,Undirected,41,-,,1,-,0
7,12,Undirected,42,+,,1,+,0
7,15,Undirected,43,+,,1,+,0
7,16,Undirected,44,+,,1,+,0
7,18,Undirected,45,-,,1,-,0
7,20,Undirected,46,+,,1,+,0
7,22,Undirected,47,+,,1,+,0
7,25,Undirected,48,-,,1,-,0
8,10,Undirected,49,-,,1,-,0
8,22,Undirected,50,+,,1,+,0
9,12,Undirected,51,+,,1,+,0
9,14,Undirected,52,-,,1,-,0
9,15,Undirected,53,+,,1,+,0
9,17,Undirected,54,+,,1,+,0
9,29,Undirected,55,-,,1,-,0
10,16,Undirected,56,+,,1,+,0
10,22,Undirected,57,-,,1,-,0
10,23,Undirected,58,-,,1,-,0
10,25,Undirected,59,-,,1,-,0
11,25,Undirected,60,+,,1,+,0
12,13,Undirected,61,+,,1,+,0
12,19,Undirected,62,+,,1,+,0
12,27,Undirected,63,+,,1,+,0
12,29,Undirected,64,-,,1,-,0
13,23,Undirected,65,+,,1,+,0
13,25,Undirected,66,+,,1,+,0
14,20,Undirected,67,-,,1,-,0
14,22,Undirected,68,-,,1,-,0
14,27,Undirected,69,-,,1,-,0
15,19,Undirected,70,+,,1,+,0
15,21,Undirected,71,+,,1,+,0
15,25,Undirected,72,+,,1,+,0
16,17,Undirected,73,-,,1,-,0
16,19,Undirected,74,+,,1,+,0
17,26,Undirected,75,+,,1,+,0
18,29,Undirected,76,+,,1,+,0
19,21,Undirected,77,+,,1,+,0
19,25,Undirected,78,+,,1,+,0
20,21,Undirected,79,+,,1,+,0
20,23,Undirected,80,+,,1,+,0
20,27,Undirected,81,+,,1,+,0
20,29,Undirected,82,+,,1,+,0
21,26,Undirected,83,+,,1,+,0
22,23,Undirected,84,+,,1,+,0
22,29,Undirected,85,-,,1,-,0
24,26,Undirected,86,+,,1,+,0
24,27,Undirected,87,+,,1,+,0
