Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,2,Undirected,1,-,,1,-,0
0,3,Undirected,2,+,,1,+,0
0,5,Undirected,3,-,,1,-,0
0,8,Undirected,4,-,,1,-,0
0,12,Undirected,5,+,,1,+,0
0,20,Undirected,6,-,,1,-,0
0,21,Undirected,7,+,,1,+,0
0,22,Undirected,8,+,,1,+,0
0,23,Undirected,9,-,,1,-,0
0,25,Undirected,10,+,,1,+,0
0,27,Undirected,11,-,,1,-,0
1,7,Undirected,12,-,,1,-,0
1,12,Undirected,13,-,,1,-,0
2,6,Undirected,14,+,,1,+,0
2,11,Undirected,15,+,,1,+,0
2,13,Undirected,16,+,,1,+,0
2,19,Undirected,17,-,,1,-,0
2,21,Undirected,18,-,,1,-,0
2,22,Undirected,19,-,,1,-,0
2,26,Undirected,20,+,,1,+,0
3,12,Undirected,21,+,,1,+,0
3,28,Undirected,22,-,,1,-,0
4,10,Undirected,23,+,,1,+,0
4,14,Undirected,24,+,,1,+,0
4,17,Undirected,25,+,,1,+,0
4,18,Undirected,26,+,,1,+,0
4,24,Undirected,27,+,,1,+,0
5,12,Undirected,28,+,,1,+,0
5,15,Undirected,29,+,,1,+,0
5,17,Undirected,30,+,,1,+,0
5,21,Undirected,31,-,,1,-,0
5,27,Undirected,32,+,,1,+,0
6,7,Undirected,33,-,,1,-,0
6,9,Undirected,34,+,,1,+,0
6,10,Undirected,35,+,,1,+,0
6,14,Undirected,36,+,,1,+,0
7,8,Undirected,37,-,,1,-,0
7,9,Undirected,38,-,,1,-,0
7,13,Undirected,39,-,,1,-,0
7,20,Undirected,40,-,,1,-,0
7,28,Undirected,41,-,,1,-,0
8,23,Undirected,42,+,,1,+,0
9,10,Undirected,43,+,,1,+,0
9,17,Undirected,44,+,,1,+,0
10,11,Undirected,45,-,,1,-,0
10,15,Undirected,46,+,,1,+,0
10,27,Undirected,47,+,,1,+,0
11,14,Undirected,48,+,,1,+,0
11,19,Undirected,49,-,,1,-,0
11,23,Undirected,50,+,,1,+,0
11,27,Undirected,51,-,,1,-,0
12,17,Undirected,52,-,,1,-,0
12,21,Undirected,53,+,,1,+,0
12,23,Undirected,54,-,,1,-,0
12,24,Undirected,55,-,,1,-,0
12,28,Undirected,56,-,,1,-,0
13,17,Undirected,57,+,,1,+,0
13,18,Undirected,58,+,,1,+,0
13,23,Undirected,59,+,,1,+,0
14,18,Undirected,60,+,,1,+,0
14,23,Undirected,61,+,,1,+,0
14,25,Undirected,62,-,,1,-,0
15,17,Undirected,63,+,,1,+,0
15,18,Undirected,64,+,,1,+,0
15,25,Undirected,65,-,,1,-,0
15,27,Undirected,66,+,,1,+,0
16,17,Undirected,67,+,,1,+,0
16,26,Undirected,68,+,,1,+,0
16,29,Undirected,69,+,,1,+,0
17,20,Undirected,70,+,,1,+,0
17,29,Undirected,71,+,,1,+,0
18,20,Undirected,72,+,,1,+,0
18,22,Undirected,73,-,,1,-,0
18,24,Undirected,74,+,,1,+,0
18,29,Undirected,75,+,,1,+,0
19,20,Undirected,76,-,,1,-,0
19,26,Undirected,77,-,,1,-,0
20,27,Undirected,78,+,,1,+,0
21,26,Undirected,79,-,,1,-,0
21,27,Undirected,80,-,,1,-,0
22,25,Undirected,81,+,,1,+,0
23,25,Undirected,82,-,,1,-,0
23,29,Undirected,83,+,,1,+,0
24,26,Undirected,84,+,,1,+,0
24,28,Undirected,85,+,,1,+,0
24,29,Undirected,86,-,,1,-,0
26,27,Undirected,87,+,,1,+,0
