Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,14,Undirected,1,+,,1,+,0
0,16,Undirected,2,-,,1,-,0
0,18,Undirected,3,-,,1,-,0
0,20,Undirected,4,+,,1,+,0
0,21,Undirected,5,-,,1,-,0
1,3,Undirected,6,-,,1,-,0
1,6,Undirected,7,+,,1,+,0
1,18,Undirected,8,-,,1,-,0
1,21,Undirected,9,-,,1,-,0
1,24,Undirected,10,-,,1,-,0
2,16,Undirected,11,+,,1,+,0
2,18,Undirected,12,+,,1,+,0
2,19,Undirected,13,+,,1,+,0
2,24,Undirected,14,+,,1,+,0
3,4,Undirected,15,-,,1,-,0
3,9,Undirected,16,+,,1,+,0
3,14,Undirected,17,-,,1,-,0
3,22,Undirected,18,-,,1,-,0
3,23,Undirected,19,-,,1,-,0
4,10,Undirected,20,+,,1,+,0
4,12,Undirected,21,+,,1,+,0
4,15,Undirected,22,+,,1,+,0
4,22,Undirected,23,+,,1,+,0
4,27,Undirected,24,+,,1,+,0
5,10,Undirected,25,-,,1,-,0
5,11,Undirected,26,-,,1,-,0
5,24,Undirected,27,+,,1,+,0
5,26,Undirected,28,+,,1,+,0
6,7,Undirected,29,+,,1,+,0
6,9,Undirected,30,-,,1,-,0
6,13,Undirected,31,+,,1,+,0
6,14,Undirected,32,+,,1,+,0
6,15,Undirected,33,+,,1,+,0
6,17,Undirected,34,-,,1,-,0
6,18,Undirected,35,-,,1,-,0
6,19,Undirected,36,-,,1,-,0
6,22,Undirected,37,+,,1,+,0
7,8,Undirected,38,-,,1,-,0
7,13,Undirected,39,+,,1,+,0
7,14,Undirected,40,+,,1,+,0
7,16,Undirected,41,-,,1,-,0
7,17,Undirected,42,-,,1,-,0
7,19,Undirected,43,-,,1,-,0
7,22,Undirected,44,+,,1,+,0
7,24,Undirected,45,-,,1,-,0
7,25,Undirected,46,+,,1,+,0
8,9,Undirected,47,+,,1,+,0
8,12,Undirected,48,-,,1,-,0
8,18,Undirected,49,+,,1,+,0
8,20,Undirected,50,-,,1,-,0
8,23,Undirected,51,-,,1,-,0
9,10,Undirected,52,-,,1,-,0
9,12,Undirected,53,-,,1,-,0
9,16,Undirected,54,+,,1,+,0
9,25,Undirected,55,-,,1,-,0
10,15,Undirected,56,+,,1,+,0
10,19,Undirected,57,-,,1,-,0
10,25,Undirected,58,+,,1,+,0
10,28,Undirected,59,+,,1,+,0
11,23,Undirected,60,+,,1,+,0
12,25,Undirected,61,+,,1,+,0
12,27,Undirected,62,+,,1,+,0
13,16,Undirected,63,-,,1,-,0
13,19,Undirected,64,-,,1,-,0
14,17,Undirected,65,-,,1,-,0
14,19,Undirected,66,-,,1,-,0
14,21,Undirected,67,-,,1,-,0
14,22,Undirected,68,+,,1,+,0
14,27,Undirected,69,+,,1,+,0
15,20,Undirected,70,+,,1,+,0
16,20,Undirected,71,-,,1,-,0
16,21,Undirected,72,+,,1,+,0
16,23,Undirected,73,-,,1,-,0
16,27,Undirected,74,-,,1,-,0
16,28,Undirected,75,-,,1,-,0
17,25,Undirected,76,-,,1,-,0
17,28,Undirected,77,-,,1,-,0
17,29,Undirected,78,-,,1,-,0
18,19,Undirected,79,+,,1,+,0
18,20,Undirected,80,-,,1,-,0
20,21,Undirected,81,-,,1,-,0
22,23,Undirected,82,+,,1,+,0
22,28,Undirected,83,+,,1,+,0
24,28,Undirected,84,-,,1,-,0
25,26,Undirected,85,-,,1,-,0
25,27,Undirected,86,+,,1,+,0
26,27,Undirected,87,-,,1,-,0
