Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,3,Undirected,1,+,,1,+,0
0,6,Undirected,2,-,,1,-,0
0,16,Undirected,3,-,,1,-,0
0,21,Undirected,4,+,,1,+,0
0,24,Undirected,5,+,,1,+,0
1,2,Undirected,6,+,,1,+,0
1,8,Undirected,7,-,,1,-,0
1,17,Undirected,8,-,,1,-,0
1,18,Undirected,9,+,,1,+,0
1,20,Undirected,10,-,,1,-,0
1,25,Undirected,11,-,,1,-,0
1,26,Undirected,12,-,,1,-,0
1,28,Undirected,13,+,,1,+,0
2,21,Undirected,14,-,,1,-,0
2,23,Undirected,15,+,,1,+,0
3,4,Undirected,16,-,,1,-,0
3,9,Undirected,17,+,,1,+,0
3,16,Undirected,18,-,,1,-,0
4,6,Undirected,19,+,,1,+,0
4,9,Undirected,20,-,,1,-,0
4,18,Undirected,21,+,,1,+,0
4,22,Undirected,22,-,,1,-,0
4,26,Undirected,23,-,,1,-,0
4,27,Undirected,24,+,,1,+,0
4,28,Undirected,25,+,,1,+,0
5,9,Undirected,26,-,,1,-,0
5,22,Undirected,27,-,,1,-,0
5,23,Undirected,28,+,,1,+,0
5,28,Undirected,29,+,,1,+,0
6,12,Undirected,30,+,,1,+,0
6,15,Undirected,31,-,,1,-,0
6,16,Undirected,32,+,,1,+,0
6,19,Undirected,33,-,,1,-,0
6,23,Undirected,34,+,,1,+,0
6,25,Undirected,35,-,,1,-,0
7,8,Undirected,36,-,,1,-,0
7,11,Undirected,37,+,,1,+,0
7,12,Undirected,38,+,,1,+,0
7,19,Undirected,39,-,,1,-,0
7,21,Undirected,40,-,,1,-,0
7,23,Undirected,41,+,,1,+,0
7,29,Undirected,42,-,,1,-,0
8,9,Undirected,43,+,,1,+,0
8,15,Undirected,44,+,,1,+,0
8,27,Undirected,45,-,,1,-,0
9,12,Undirected,46,-,,1,-,0
9,16,Undirected,47,-,,1,-,0
9,20,Undirected,48,+,,1,+,0
9,24,Undirected,49,+,,1,+,0
9,25,Undirected,50,+,,1,+,0
9,29,Undirected,51,+,,1,+,0
10,17,Undirected,52,-,,1,-,0
10,18,Undirected,53,+,,1,+,0
10,24,Undirected,54,-,,1,-,0
10,27,Undirected,55,+,,1,+,0
11,25,Undirected,56,-,,1,-,0
11,26,Undirected,57,-,,1,-,0
12,20,Undirected,58,-,,1,-,0
12,22,Undirected,59,-,,1,-,0
12,25,Undirected,60,-,,1,-,0
13,15,Undirected,61,+,,1,+,0
13,29,Undirected,62,+,,1,+,0
14,20,Undirected,63,+,,1,+,0
14,21,Undirected,64,+,,1,+,0
14,28,Undirected,65,-,,1,-,0
15,16,Undirected,66,-,,1,-,0
15,21,Undirected,67,+,,1,+,0
16,18,Undirected,68,+,,1,+,0
16,24,Undirected,69,-,,1,-,0
17,24,Undirected,70,+,,1,+,0
17,26,Undirected,71,+,,1,+,0
17,28,Undirected,72,-,,1,-,0
18,22,Undirected,73,-,,1,-,0
18,24,Undirected,74,-,,1,-,0
19,21,Undirected,75,+,,1,+,0
19,23,Undirected,76,-,,1,-,0
19,24,Undirected,77,+,,1,+,0
19,27,Undirected,78,-,,1,-,0
20,25,Undirected,79,+,,1,+,0
22,26,Undirected,80,+,,1,+,0
22,27,Undirected,81,-,,1,-,0
22,28,Undirected,82,-,,1,-,0
23,28,Undirected,83,+,,1,+,0
24,26,Undirected,84,+,,1,+,0
25,29,Undirected,85,+,,1,+,0
26,27,Undirected,86,-,,1,-,0
28,29,Undirected,87,-,,1,-,0
