Source,Target,Type,Id,Label,timeset,Weight,Sign,eigvalue
0,7,Undirected,1,+,,1,+,0
0,8,Undirected,2,+,,1,+,0
0,12,Undirected,3,+,,1,+,0
0,17,Undirected,4,+,,1,+,0
0,29,Undirected,5,+,,1,+,0
1,4,Undirected,6,+,,1,+,0
1,6,Undirected,7,+,,1,+,0
1,8,Undirected,8,+,,1,+,0
1,9,Undirected,9,+,,1,+,0
1,12,Undirected,10,+,,1,+,0
1,14,Undirected,11,-,,1,-,0
1,21,Undirected,12,+,,1,+,0
1,25,Undirected,13,+,,1,+,0
2,5,Undirected,14,+,,1,+,0
2,12,Undirected,15,+,,1,+,0
2,21,Undirected,16,+,,1,+,0
2,23,Undirected,17,+,,1,+,0
2,28,Undirected,18,+,,1,+,0
3,4,Undirected,19,+,,1,+,0
3,10,Undirected,20,+,,1,+,0
3,25,Undirected,21,+,,1,+,0
4,5,Undirected,22,+,,1,+,0
4,6,Undirected,23,+,,1,+,0
4,10,Undirected,24,+,,1,+,0
4,15,Undirected,25,+,,1,+,0
4,21,Undirected,26,+,,1,+,0
4,23,Undirected,27,+,,1,+,0
5,8,Undirected,28,+,,1,+,0
5,10,Undirected,29,+,,1,+,0
5,15,Undirected,30,+,,1,+,0
5,19,Undirected,31,+,,1,+,0
5,24,Undirected,32,-,,1,-,0
5,28,Undirected,33,+,,1,+,0
6,19,Undirected,34,+,,1,+,0
6,22,Undirected,35,+,,1,+,0
6,26,Undirected,36,+,,1,+,0
6,27,Undirected,37,-,,1,-,0
7,8,Undirected,38,+,,1,+,0
7,10,Undirected,39,+,,1,+,0
7,11,Undirected,40,+,,1,+,0
7,12,Undirected,41,+,,1,+,0
7,15,Undirected,42,+,,1,+,0
7,19,Undirected,43,+,,1,+,0
7,20,Undirected,44,+,,1,+,0
7,21,Undirected,45,+,,1,+,0
7,22,Undirected,46,+,,1,+,0
7,27,Undirected,47,-,,1,-,0
8,16,Undirected,48,+,,1,+,0
8,19,Undirected,49,+,,1,+,0
8,27,Undirected,50,-,,1,-,0
8,28,Undirected,51,+,,1,+,0
9,19,Undirected,52,+,,1,+,0
9,24,Undirected,53,-,,1,-,0
10,13,Undirected,54,+,,1,+,0
10,29,Undirected,55,+,,1,+,0
11,12,Undirected,56,+,,1,+,0
11,15,Undirected,57,+,,1,+,0
11,16,Undirected,58,+,,1,+,0
11,29,Undirected,59,+,,1,+,0
12,18,Undirected,60,+,,1,+,0
12,21,Undirected,61,+,,1,+,0
12,28,Undirected,62,+,,1,+,0
13,16,Undirected,63,+,,1,+,0
13,19,Undirected,64,+,,1,+,0
14,15,Undirected,65,-,,1,-,0
14,17,Undirected,66,-,,1,-,0
14,21,Undirected,67,-,,1,-,0
14,28,Undirected,68,-,,1,-,0
15,16,Undirected,69,+,,1,+,0
15,20,Undirected,70,+,,1,+,0
15,29,Undirected,71,+,,1,+,0
16,23,Undirected,72,+,,1,+,0
18,22,Undirected,73,+,,1,+,0
19,24,Undirected,74,-,,1,-,0
19,25,Undirected,75,+,,1,+,0
19,27,Undirected,76,-,,1,-,0
20,24,Undirected,77,-,,1,-,0
21,22,Undirected,78,+,,1,+,0
21,25,Undirected,79,+,,1,+,0
22,26,Undirected,80,+,,1,+,0
23,24,Undirected,81,-,,1,-,0
23,26,Undirected,82,+,,1,+,0
23,27,Undirected,83,-,,1,-,0
23,28,Undirected,84,+,,1,+,0
25,26,Undirected,85,+,,1,+,0
27,28,Undirected,86,-,,1,-,0
28,29,Undirected,87,+,,1,+,0
